Sentiment,Text
0,username tolol gak hubung gugur dgn pake hijab syar lo bilang bayi panas dalem gak hubung woyyyy otak jempol lo gak singkron nulis komentar
0,geblek lo tatacowo bgt dibela2in balikanhadewwntar tinggal lg nyalahin tuh cowopadahal kitenya oon
0,kmrn termewek2 skr lengket lg duhhh labil bgt mbak kya abege ajah ato kmrn cari sensasi biar top markotoppp ertong gk kualitas
0,inti kesel att gausah anak kasi kembang psikis anak orang bener bener tolol skrg anak anak dikatain orang benci gimana benci orang tau batesnya nama manusia gaakan suka haters
0,hadewwwww permpuan lgsakit jiwaknp jd peran utama film hantu jeruk purutky khabis stok artis ja
0,pantesan tinggalin laki laki mikir perempuan kayagni ngurus gak becus gimana ngurus anak mending anak bapake bener didik
0,balajaer nyampah d ig artissuka2 ig bikin caption apakok balajaer heboh asik ceramahin igtar lama2 d bikinin lagu sm teh melly loh balajaer berjudulketika balajaer bersabdademi seonggak koin laknat nyabalajaer ngamuk arti koin laknat jd goda d rt gigiduh elah balajaer smua tau kale laku biduan lo kek apaminus segala2nyalagi d bela mati2anpd sakit jiwa
0,krn besar rakyat indonesia bodoh tdk beda buruk sdh tau prilaku buruk tdk tau sopan santun pilih jd panutan idola murah dr pd kelas ber etika
0,ayu janda bego pny suami kpn nikah
0,anyiennnnggg ancur merdu tukang goreng
0,syarat sah nikah agama islam 5 cpp cpw saksi wali nikah kawinmahar perkara makeup gak manglingi syarat sah nikah gak makeup syarat 5 penuh nikah sah yak emak emak julids
0,cewek gatau nih ngerebut pacar org udh abang ngedukung sifat jelek lg ckck
0,username eh kids jaman now micin mna ngina bego pelihara
0,jijik liat suer deh minceeee
0,hal tabu cium bikin eneg citra sok alim sok sok bijak sok sok lai citra sok alim sok suci
0,jd 1 cium dpn org bnyk malu mgkn lg mabok jd gak malu 2 teman helooow buah teman tdk libat cium bibir coba bayangin sanggup gak cium bibir ma teman lbh dr teman dasar laku kids jaman now emg bego krn micin lho yah
0,anjing ngamukhidup dmana2 pny musuhudh kliatan mna bukanorg ga pny byk musuh
0,username ahhh jaga lahh ngk jaga dasar munafik dasar betina zaman now ellu yangg micin loe otak loe selangkang paham moga tuhan ampunin munafik loe cun
0,username yaa ampun upil naruto kata2nya cermin klo pecunpengalaman lu yaa sian prihatin mati aj deh lu ngotorin dunia manusia
0,cuman jual goyang yak taik
0,kasi ih nyari uang sampe
0,anjir tonton mutu
0,dlu inul goyang ngebor baju ketat dcekal hrs ny ni jg dg sgja goyang dada mulu ga sbrpa mrsk moral ank muda nnton bawa nafsu
0,pnyanyi dangdut ga kelas bgini nih bukany nonjolin nonjolin dada
0,najis najis udh homo org kaya gin musnah muka bumi
0,haduuh orang gak akhlak bangeg kerja antem mulu musuh
0,s lonte bkn sensasi ngjak ribut org mulu sampah
0,kayak banci dh nenek2 pny cucu mw operasi mua top ttp aj klo asli ny g cantik dlm
0,bagus kalo mingkem hahahahahaha jahat akuuu
0,oplas permak tetep jelek pokok muka tegang kek banci
0,mending liat dek molen biarpun cowok tp cuantik gak kaya cewe tp kayak bencong wkwkwk
0,bencong rombengmenjijikangay jg
0,orang gila hitz cri tenar rela penjara cari sensasi settingan beken smpe hina2 org astagfirullah kaya org kaya mulut ky sampahga sekolah
0,cowok anjing cuihhh orang kaya koar orang ping kaya seduniakarena orang tau klo orang kaya orang kaya malahn perilaku orang sederhana pamer kaya dunia akhirat mampus lu harta kagak bawa mati pants buang laut lu orang anehhh
0,cari sensasi tenar trus banya folowers gak gt gt jg kalee darar orang tres ngomong belepotan gk gt kamfungan
0,ngomong belepotan gaya lu bencong
0,orang makan taik giniotaknya penuh taik jdi gak berfikir positifdari bicara gak bermoraldasar kaum2 laknat banci anjing kbanyakan burit lo jdi stresmanusia ogah jumpa lo anjingcuma anjing ketemu lo taik
0,sikat abiss lahh orng2 sial kaya gin pimpin negara gak hormatin jgn mentang2 bapak president sembarangin marah gak hina pimpin harap tindak hukum orng
0,jijik lihat tingkah upil mudah2an cepat tidur
0,wong edan nih orang udh makan uang rakyat tidur
0,manusia laknat mati apain
0,sakit otak hati gak nurani urat malu pajak loh ngegaji orang2 gila hormat
0,anak babi bangsat sumpel timah panas congor lu biar modar
0,sumpel timah panas congor anak babi pesek buruk rupa
0,hey anak bangsat babi pesek buruk rupa keritingpengen penggal leher lu sampe putuslumayan makan buaya
0,ratu pelakor jagat raya dimana2 lonte gak malu ngerasa lonte tolong malu dikit
0,mahhhh temu buah ranum buah busuk dah tau busuk manah mentok2nya kalo pelakor
0,ah manda gatel ga liyat cowo dikit lgsg sosor begok aje ama manda kegatelan cewe
0,amanda muka tante umur tp muka boros dasar cabe jujur kgk suka ama ni haltis
